1,2
3,4
3,5
3,6
2,3
4,6
5,6
5,7
5,8
6,8
7,8
8,8
8,9
9,9
9,10
10,10
10,11
11,11
11,12
12,11
14,11
14,10
13,10
17,11
18,11
18,12
19,12
19,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
25,18
26,18
27,18
28,18
29,18
29,17
29,16
29,15
29,14
30,14
31,14
33,14
33,16
33,18
33,19
33,21
33,22
34,22
35,22
36,24
36,25
36,26
36,27
36,29
36,30
37,30
38,30
39,30
40,30
27,31
26,31
25,31
24,31
23,31
22,31
21,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,39
22,39
25,40
25,41
22,42
21,42
19,42
18,42
17,42
15,42
14,42
12,42
11,42
10,42
10,40
10,39
10,38
10,37
10,36
10,33
10,32
10,31
10,29
10,28
10,27
12,26
13,26
15,26
16,26
17,25
17,24
17,23
17,22
17,21
15,20
14,20
13,20
12,20
11,20
10,20
9,19
9,17
9,16
8,16
6,16
6,19
6,22
6,23
6,24
6,26
6,27
3,28
3,29
3,31
3,32
3,33
33,35
35,35
36,35
38,35
39,36
39,37
39,38
39,39
39,40
40,40
41,40
43,40
44,40
45,39
45,38
46,38
46,37
46,36
46,34
45,35
45,34
45,22
44,21
44,20
43,19
42,19
41,18
41,17
40,16
41,15
42,15
42,14
43,13
42,13
42,12
41,11
40,11
38,9
37,9
36,8
38,6
39,6
39,5
40,5
40,4
44,4
46,4
47,4
47,5
47,8
47,10
47,11
30,4
29,4
28,4
27,4
26,4
25,4
24,4
23,4
22,4
21,4
19,4
18,4
16,4
15,4
14,4
13,4
11,4
10,4
